what,kind,bundleId,bundleVersion,description,time
error,log,,,"Provisioning exception",1456130915407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456130915538
error,log,,,"Provisioning exception",1456130918991
error,log,,,"Some sites could not be found.  See the error log for more detail.",1456130918993
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1456130935795
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1456130935815
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1456130935973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456130950671
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1456130950682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456130964154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1456130973219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456131039771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131041378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131046078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131052399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131052572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131053662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131064651
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456131069482
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456131085851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456131090778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131093110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131095056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131100429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131100659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131101597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131118678
activated,view,org.testng.eclipse,6.9.10.201512240000,"org.testng.eclipse.ResultView",1456131123643
started,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1456131131462
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1456131131475
started,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1456131131538
opened,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1456131132166
activated,view,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1456131132242
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1456131132921
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456131144090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131171476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131177184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131181324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1456131199884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131227888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1456131231438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1456131251735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131257613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131257813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131258805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1456131278256
